;;Bevolking|Bevolkingssamenstelling op 1 januari|Geslacht|Mannen;Bevolking|Bevolkingssamenstelling op 1 januari|Geslacht|Vrouwen;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|Jonger dan 5 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|5 tot 10 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|10 tot 15 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|15 tot 20 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|20 tot 25 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|25 tot 45 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|45 tot 65 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|65 tot 80 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|80 jaar of ouder
Regio's;Perioden;%;%;%;%;%;%;%;%;%;%;%
Amsterdam;2012;49,2;50,8;6,2;4,9;4,6;4,7;8,2;35,2;24,8;8,3;3,0
Amsterdam;2016;49,4;50,6;5,8;5,0;4,5;4,7;8,3;35,2;24,6;9,3;2,7
Amsterdam;2020;49,6;50,4;5,3;4,6;4,5;4,8;7,7;36,4;24,1;10,0;2,7
Amsterdam;2022;49,6;50,4;5,0;4,4;4,4;4,9;8,2;36,3;23,7;10,4;2,8
Groningen (gemeente);2012;49,5;50,5;4,8;4,0;3,9;6,7;16,9;30,6;21,7;8,1;3,3
Groningen (gemeente);2016;49,8;50,2;4,4;4,0;3,8;6,6;17,3;30,3;21,4;9,0;3,1
Groningen (gemeente);2020;49,7;50,3;4,2;4,1;4,1;6,2;15,5;29,6;21,7;11,1;3,6
Groningen (gemeente);2022;49,8;50,2;4,0;3,9;4,1;6,1;15,3;29,9;21,3;11,7;3,6
Maastricht;2012;48,1;51,9;3,6;3,9;4,3;6,2;12,0;24,0;27,5;13,6;5,0
Maastricht;2016;48,1;51,9;3,5;3,5;3,9;6,6;12,5;23,5;26,4;14,8;5,2
Maastricht;2020;47,8;52,2;3,4;3,4;3,5;6,3;12,9;23,7;25,0;16,0;5,6
Maastricht;2022;47,8;52,2;3,4;3,5;3,5;6,5;13,0;23,8;24,2;16,5;5,8
Utrecht (gemeente);2012;48,5;51,5;7,0;5,6;4,6;5,0;11,2;36,8;19,8;7,3;2,7
Utrecht (gemeente);2016;48,8;51,2;6,7;5,8;4,9;5,1;11,2;35,7;20,4;7,6;2,5
Utrecht (gemeente);2020;49,0;51,0;6,1;5,6;5,2;5,1;9,6;36,7;21,2;7,9;2,6
Utrecht (gemeente);2022;49,1;50,9;5,9;5,4;5,3;5,3;9,7;36,4;21,4;8,1;2,6
