regio,jaar,gem_gestand_inkomen,overgewicht_totaal,ernstig_overgewicht
Amsterdam,2012,24.7,39.7,11.3
Amsterdam,2016,27.9,39.7,11.6
Amsterdam,2020,33.2,39.3,11.2
Amsterdam,2022,37.4,41.2,11.9
Groningen (gemeente),2012,20.5,36.7,8.6
Groningen (gemeente),2016,22.4,37.9,9
Groningen (gemeente),2020,25.7,39.2,11
Groningen (gemeente),2022,28.4,40.1,11.8
Maastricht,2012,22.1,45.1,12.2
Maastricht,2016,24,45.6,14.4
Maastricht,2020,27.3,45.7,14.8
Maastricht,2022,29.6,45.3,15.3
Utrecht (gemeente),2012,23.9,38.4,10.4
Utrecht (gemeente),2016,26.6,36.5,9.9
Utrecht (gemeente),2020,31.2,37.6,9.6
Utrecht (gemeente),2022,35.1,37.4,10.6
